username,nom,categorie,instagram_followers,instagram_following,instagram_posts,tiktok_followers,youtube_subscribers,youtube_views,score_influence,niveau,audience_totale,categorie_encoded
chebbialaaofficiel,Chebbialaaofficiel,TV Host,443500,1700,223,14,0,0,32,Macro,443514,13
hanayaich,Hanayaich,Food,272600,3200,465,1000,0,0,32,Macro,273600,3
hassendosss,Hassendosss,Singer,105500,136,717,0,0,0,32,Macro,105500,11
rimbougamra,Rimbougamra,TV Host,290400,409,400,734,0,0,32,Macro,291134,13
mouraderouge,Mouraderouge,Video Blogger,413200,1300,397,13200,0,0,32,Macro,426400,15
hachemgaddouch,Hachemgaddouch,Video Blogger,305000,766,405,38600,0,0,32,Macro,343600,15
sandra_chihaoui,Sandra Chihaoui,TV Host,410300,324,102,1,0,0,32,Macro,410301,13
djtora_official,Djtora Official,Singer,306200,190,452,2100,0,0,32,Macro,308300,11
horcujet,Horcujet,Video Blogger,348000,1500,186,19,0,0,32,Macro,348019,15
marwa.benali.712,Marwa.Benali.712,Food,161900,2300,784,0,0,0,32,Macro,161900,3
ichraqqamar,Ichraqqamar,Singer,343300,463,161,13700,0,0,32,Macro,357000,11
iheb_msekni_10,Iheb Msekni 10,Sport,155000,244,108,1,0,0,32,Macro,155001,12
cuisine__imen,Cuisine  Imen,Food,148800,605,352,123,0,0,32,Macro,148923,3
cherifouali,Cherifouali,Photographer,138800,3200,442,24100,0,0,32,Macro,162900,9
rahma_mdallaa,Rahma Mdallaa,Lifestyle,383900,7400,254,7800,0,0,32,Macro,391700,6
steevy_aymen,Steevy Aymen,Makeup Artist,341600,995,424,11,0,0,32,Macro,341611,7
amin_hajri,Amin Hajri,Fashion,36200,1400,1300,0,0,0,31,Micro,36200,2
nejibbelhassen,Nejibbelhassen,Actors,69300,967,530,29400,0,0,31,Micro,98700,0
litayem_zied,Litayem Zied,Actors,12900,1100,1200,0,0,0,31,Micro,12900,0
jnaynaa,Jnaynaa,Lifestyle,83800,5200,2000,0,0,0,31,Micro,83800,6
ankh_nh,Ankh Nh,Lifestyle,47100,1800,1600,0,0,0,31,Micro,47100,6
tunisianyogini,Tunisianyogini,Sport,20100,3100,1100,0,0,0,31,Micro,20100,12
chekra_rammeh,Chekra Rammeh,Actors,83400,496,573,442,0,0,31,Micro,83842,0
dalinsomnia,Dalinsomnia,Travel,38600,997,1800,0,0,0,31,Micro,38600,14
sonytta,Sonytta,Food,98700,7400,2700,0,0,0,31,Micro,98700,3
sbyalma,Sbyalma,Fashion,40300,1600,1200,0,0,0,31,Micro,40300,2
drfaresbelhassen,Drfaresbelhassen,Doctor,46400,2500,632,7800,0,0,31,Micro,54200,1
mariam_al_ferjani,Mariam Al Ferjani,Actors,79800,1700,1600,0,0,0,31,Micro,79800,0
salma_jardak,Salma Jardak,Modeling,94100,2700,904,345,0,0,31,Micro,94445,8
olfa_hammouda,Olfa Hammouda,Makeup Artist,51900,1800,1200,0,0,0,31,Micro,51900,7
norchene1,Norchene1,Modeling,42500,1400,795,89,0,0,31,Micro,42589,8
jessnarjess,Jessnarjess,Fashion,73900,4300,3900,0,0,0,31,Micro,73900,2
hitunis,Hitunis,Singer,14700,2900,1700,0,0,0,31,Micro,14700,11
olfakaabi,Olfakaabi,Lifestyle,204,1100,1700,10,0,0,30,Nano,214,6
awesmessaoudi,Awesmessaoudi,Actors,215,1800,1900,99,0,0,30,Nano,314,0
afefgharbi,Afefgharbi,TV Host,412,7300,1200,105,0,0,30,Nano,517,13
cuisine_a_deux,Cuisine A Deux,Food,281,958,1200,334,0,0,30,Nano,615,3
teyssir_ksouri,Teyssir Ksouri,Food,244,4000,2700,39,0,0,30,Nano,283,3
manelabdelkoui,Manelabdelkoui,Actors,199,282,1300,106,0,0,30,Nano,305,0
sawsen_gmati,Sawsen Gmati,Makeup Artist,450,1900,1300,21,0,0,30,Nano,471,7
mayssakasbi,Mayssakasbi,Lifestyle,187,180,2600,13,0,0,30,Nano,200,6
aminematue,Aminematue,Video Blogger,0,0,0,0,1960000,238771825,29,Mega,1960000,15
nessmatv,Nessma Tv,Lifestyle,0,0,0,0,3020000,1221368514,29,Mega,3020000,6
alitgtv,Ali Tgtv | علي تي جي تي في,Video Blogger,0,0,0,0,4710000,889172540,29,Mega,4710000,15
bekisworld,Beki’S World | عالم بيكي,Video Blogger,0,0,0,0,1340000,85594675,29,Mega,1340000,15
ahmedriabi,Ahmed Riabi,Video Blogger,0,0,0,0,1210000,142308432,29,Mega,1210000,15
thisizbalti,Thisizbalti,Rap,533100,3300,11,0,0,0,28,Macro,533100,10
ferjanisassioff,Ferjanisassioff,Sport,974600,266,73,0,0,0,28,Macro,974600,12
malek.ben.saad,Malek.Ben.Saad,Humor,321800,1100,48,131000,0,0,27,Macro,452800,5
med_ali_tounsi,Med Ali Tounsi,Humor,359200,269,412,0,0,0,27,Macro,359200,5
50mejri,50Mejri,Sport,131100,1000,320,0,0,0,27,Macro,131100,12
lina_ben_ali_officiel,Lina Ben Ali Officiel,Singer,99100,5200,52,26500,0,0,27,Macro,125600,11
haithemjouini_officiel,Haithemjouini Officiel,Sport,112000,981,215,0,0,0,27,Macro,112000,12
achref_ouerghemmi_photographe,Achref Ouerghemmi Photographe,Photographer,243000,7400,1,2100,0,0,27,Macro,245100,9
azerzaouali,Azerzaouali,Actors,184200,1100,315,0,0,0,27,Macro,184200,0
ymeriah,Ymeriah,Sport,166300,1,47,45,0,0,27,Macro,166345,12
yasminenajar,Yasminenajar,Lifestyle,109500,1100,157,0,0,0,27,Macro,109500,6
tunisianofficiel,Tunisianofficiel,Singer,106500,283,28,7600,0,0,27,Macro,114100,11
assewrbenmohamed,Assewrbenmohamed,Singer,139300,873,139,0,0,0,27,Macro,139300,11
soniadahmani,Soniadahmani,TV Host,343100,1200,403,0,0,0,27,Macro,343100,13
diwasweetness,Diwasweetness,Food,111600,692,179,0,0,0,27,Macro,111600,3
lamine_belkhodja,Lamine Belkhodja,Actors,108500,878,17,1100,0,0,27,Macro,109600,0
salma.btk,Salma.Btk,Lifestyle,88200,2000,27,22300,0,0,27,Macro,110500,6
areej_ay,Areej Ay,Lifestyle,143500,412,190,0,0,0,27,Macro,143500,6
hela_melki_official,Hela Melki Official,Singer,126800,390,492,0,0,0,27,Macro,126800,11
joelamrikani,Joelamrikani,TV Host,340300,1900,104,0,0,0,27,Macro,340300,13
rayenyoussefofc,Rayenyoussefofc,Singer,164400,1200,1,235,0,0,27,Macro,164635,11
nour_gn,Nour Gn,Lifestyle,110200,1700,435,0,0,0,27,Macro,110200,6
amal_hachana,Amal Hachana,Lifestyle,101600,450,8,64500,0,0,27,Macro,166100,6
raouajemli,Raouajemli,Modeling,121100,746,140,0,0,0,27,Macro,121100,8
raed.fadaa.officiel,Raed.Fadaa.Officiel,Sport,415400,1600,103,0,0,0,27,Macro,415400,12
rami_jeridi_officiel_,Rami Jeridi Officiel,Sport,131000,617,284,0,0,0,27,Macro,131000,12
mohamed_jebali_officiel,Mohamed Jebali Officiel,Singer,41300,572,797,0,0,0,26,Micro,41300,11
rabebhosny,Rabebhosny,Singer,64400,783,223,1100,0,0,26,Micro,65500,11
wael_ben_abdallah,Wael Ben Abdallah,Singer,66900,407,279,16400,0,0,26,Micro,83300,11
aliastasia,Aliastasia,Lifestyle,14800,105,535,0,0,0,26,Micro,14800,6
tresors_de_mimi,Tresors De Mimi,Fashion,54700,5500,1000,0,0,0,26,Micro,54700,2
alamarzougui7,Alamarzougui7,Sport,42800,461,127,9900,0,0,26,Micro,52700,12
myriam_gmati,Myriam Gmati,Modeling,42400,2200,197,796,0,0,26,Micro,43196,8
mohamedkhammessi,Mohamedkhammessi,TV Host,41300,1400,618,0,0,0,26,Micro,41300,13
sayeh_mariem,Sayeh Mariem,Actors,22600,2000,850,0,0,0,26,Micro,22600,0
salimaammar,Salimaammar,Travel,93000,2000,574,0,0,0,26,Micro,93000,14
mohamedfrigui,Mohamedfrigui,Modeling,71600,1400,236,14700,0,0,26,Micro,86300,8
marwan.ali.officiel,Marwan.Ali.Officiel,Singer,52600,267,109,892,0,0,26,Micro,53492,11
mayatouati,Mayatouati,Fashion,47300,4500,127,2000,0,0,26,Micro,49300,2
anissa_daoud,Anissa Daoud,Actors,17300,2500,579,0,0,0,26,Micro,17300,0
hiba_saidane,Hiba Saidane,Lifestyle,27900,4000,747,0,0,0,26,Micro,27900,6
feriel.maraaoui,Feriel.Maraaoui,Fashion,93400,1400,576,0,0,0,26,Micro,93400,2
drfediamtaallah,Drfediamtaallah,Doctor,44500,2900,799,0,0,0,26,Micro,44500,1
dorsaf_al_shaal,Dorsaf Al Shaal,Fashion,38600,261,529,0,0,0,26,Micro,38600,2
djdanjertn,Djdanjertn,Singer,19900,1300,601,0,0,0,26,Micro,19900,11
chaymadimassi,Chaymadimassi,Fashion,93000,2000,574,0,0,0,26,Micro,93000,2
bayrem_kilani,Bayrem Kilani,Singer,89900,79,871,0,0,0,26,Micro,89900,11
yasbouabid,Yasbouabid,Actors,196,1900,744,25,0,0,25,Nano,221,0
asmabenahmedofficiel,Asmabenahmedofficiel,Singer,246,7300,937,19,0,0,25,Nano,265,11
fakherbeautycenter,Fakherbeautycenter,Makeup Artist,500,1200,1800,0,0,0,25,Nano,500,7
amanielswissi,Amanielswissi,Singer,225,461,1200,0,0,0,25,Nano,225,11
dr.habboub,Dr.Habboub,Doctor,222,941,741,508,0,0,25,Nano,730,1
hamdi_van_buuren,Hamdi Van Buuren,Photographer,231,2500,737,19,0,0,25,Nano,250,9
myra2343,Myra,Lifestyle,0,0,0,0,552000,25997000,23,Macro,552000,6
nesym_sea,Nesym Sea,Lifestyle,0,0,0,0,916000,147007537,23,Macro,916000,6
azzaslimene,Azzaslimene,Modeling,801600,0,0,0,0,0,23,Macro,801600,8
demonexion,Demonexion,Video Blogger,0,0,0,0,727000,297603061,23,Macro,727000,15
redouanebougherabatv,Redouane Bougheraba Tv,Humor,0,0,0,0,560000,210060275,23,Macro,560000,5
ibratraveler7794,Ibra Traveler,Travel,0,0,0,0,528000,94423975,23,Macro,528000,14
ameenxv,Ameen,Video Blogger,0,0,0,0,698000,62793041,23,Macro,698000,15
moeztoumiofficial,Moeztoumiofficial,Actors,111600,1200,64,0,0,0,22,Macro,111600,0
oussama__haddadi,Oussama  Haddadi,Sport,136200,728,25,0,0,0,22,Macro,136200,12
radhijaidi,Radhijaidi,Sport,176200,579,88,0,0,0,22,Macro,176200,12
ihebmbarki24,Ihebmbarki24,Sport,138600,406,55,0,0,0,22,Macro,138600,12
inesosmani,Inesosmani,Fashion,245900,1500,78,0,0,0,22,Macro,245900,2
bassem.srarfi_officiel19,Bassem.Srarfi Officiel19,Sport,362500,443,73,0,0,0,22,Macro,362500,12
saifkhaoui20,Saifkhaoui20,Sport,105700,365,91,0,0,0,22,Macro,105700,12
amine.chermiti,Amine.Chermiti,Sport,120600,1900,30,0,0,0,22,Macro,120600,12
ghaylen_chaaleli,Ghaylen Chaaleli,Sport,326300,384,31,0,0,0,22,Macro,326300,12
intibelhassen,Intibelhassen,Actors,73900,1000,441,0,0,0,21,Micro,73900,0
issam.tn,Issam.Tn,Lifestyle,85000,1200,252,0,0,0,21,Micro,85000,6
mhirsiiiiii,Mhirsiiiiii,Sport,35500,246,132,0,0,0,21,Micro,35500,12
shootme.tn,Shootme.Tn,Photographer,12900,185,321,0,0,0,21,Micro,12900,9
issou5,Issou5,Sport,73400,796,316,0,0,0,21,Micro,73400,12
ines_boubakri,Ines Boubakri,Sport,36100,1100,293,0,0,0,21,Micro,36100,12
mehdikallelcouture,Mehdikallelcouture,Fashion,90800,652,291,0,0,0,21,Micro,90800,2
amamoumolka,Amamoumolka,Lifestyle,83600,504,397,0,0,0,21,Micro,83600,6
imenbourguiba_,Imenbourguiba,Food,51000,4000,443,0,0,0,21,Micro,51000,3
feryel_selmi,Feryel Selmi,Lifestyle,70500,1300,156,0,0,0,21,Micro,70500,6
salim_chebil,Salim Chebil,Fashion,35500,1800,102,0,0,0,21,Micro,35500,2
rayen__kochbati,Rayen  Kochbati,Humor,42100,237,190,0,0,0,21,Micro,42100,5
ayarikhaled13,Ayarikhaled13,Sport,14900,616,207,0,0,0,21,Micro,14900,12
sadok_yeddes,Sadok Yeddes,Sport,14700,333,292,0,0,0,21,Micro,14700,12
hajrimyriam,Hajrimyriam,Lifestyle,11000,3000,115,0,0,0,21,Micro,11000,6
dhaferyoussef,Dhaferyoussef,Singer,35000,229,365,0,0,0,21,Micro,35000,11
sheimaoueslati,Sheimaoueslati,Modeling,32700,483,371,0,0,0,21,Micro,32700,8
spartarami,Spartarami,Sport,52200,1100,192,0,0,0,21,Micro,52200,12
nedra_lamloum,Nedra Lamloum,Actors,65300,1100,285,0,0,0,21,Micro,65300,0
wajdicherif,Wajdicherif,Actors,57300,905,141,0,0,0,21,Micro,57300,0
streetfood_tunisia,Streetfood Tunisia,Food,14900,7200,278,0,0,0,21,Micro,14900,3
sisterss_diary,Sisterss Diary,Lifestyle,211,287,110,35,0,0,20,Nano,246,6
maryem.hz,Maryem.Hz,Video Blogger,267,3200,484,24,0,0,20,Nano,291,15
abirbennani,Abirbennani,Actors,223,2000,580,0,0,0,20,Nano,223,0
asmabaklouti,Asmabaklouti,Food,314,2300,465,133,0,0,20,Nano,447,3
malouchelamis,Malouchelamis,Actors,185,323,895,0,0,0,20,Nano,185,0
miniar.rkhami,Miniar.Rkhami,Actors,218,1200,213,444,0,0,20,Nano,662,0
jane.torjeman,Jane.Torjeman,Lifestyle,272,905,463,91,0,0,20,Nano,363,6
yassine_khenissi,Yassine Khenissi,Sport,187,816,508,0,0,0,20,Nano,187,12
eyasghir,Eyasghir,Fashion,217,4400,334,15,0,0,20,Nano,232,2
saydouda,Saydouda,Lifestyle,295,3200,804,0,0,0,20,Nano,295,6
wajihajendoubi,Wajihajendoubi,Actors,307,265,560,0,0,0,20,Nano,307,0
jihed_cherni,Jihed Cherni,Actors,238,1100,582,0,0,0,20,Nano,238,0
cuisinetunisiennebykhoulou1443,Cuisine Tunisienne By Khouloud,Lifestyle,0,0,0,0,134000,16234943,17,Macro,134000,6
tunisianstreetfood,Tunisian Street Food,Lifestyle,0,0,0,0,238000,67545819,17,Macro,238000,6
mak7out,Gattouz0,Lifestyle,0,0,0,0,197000,10816177,17,Macro,197000,6
tunisienumerique-y9h,Tunisie Numérique,Lifestyle,0,0,0,0,109000,35308795,17,Macro,109000,6
assiatique,Assiatique,Lifestyle,0,0,0,0,324000,35584500,17,Macro,324000,6
unboxingtn,Unboxing Tn,High-Tech,0,0,0,0,209000,16561115,17,Macro,209000,4
castplustunis,Cast+ Tunis,Lifestyle,0,0,0,0,111000,41925561,17,Macro,111000,6
naweliam,Nawel I Am,Lifestyle,0,0,0,0,256000,2298102,17,Macro,256000,6
mohamedchoukani,Medchou,Lifestyle,0,0,0,0,264000,16163861,17,Macro,264000,6
gooba,Gooba,Lifestyle,0,0,0,0,203000,8611207,17,Macro,203000,6
amynevlogs,Amyne Vlogs,Lifestyle,0,0,0,0,140000,9441105,17,Macro,140000,6
jelyfishtn,Jelyfishtn,Lifestyle,0,0,0,0,248000,19330277,17,Macro,248000,6
el_mahden_mehdi_mouelhi,Mehdi Mouelhi,Lifestyle,0,0,0,0,135000,12365937,17,Macro,135000,6
assiarabian,Assiarabian,Lifestyle,0,0,0,0,248000,27718195,17,Macro,248000,6
ismalabrigade,Isma,Lifestyle,0,0,0,0,177000,96062659,17,Macro,177000,6
cuisinetunisienne4354,Cuisine Tunisienne مطبخ منيرة أم يقين,Lifestyle,0,0,0,0,240000,23185167,17,Macro,240000,6
cuisineleilabenlazher2224,Cuisine Leila Ben Lazher المطبخ التونسي ليلى,Lifestyle,0,0,0,0,342000,38670400,17,Macro,342000,6
cuisineimen4827,إيمان زهرة المطبخ التونسي Cuisine Imen,Lifestyle,0,0,0,0,481000,49606050,17,Macro,481000,6
cuisinetunisiennezakia,المطبخ التونسي زكية - Tunisian Cuisine Zakia,Lifestyle,0,0,0,0,263000,42553917,17,Macro,263000,6
tounsibiker,Tounsi Biker,Lifestyle,0,0,0,0,489000,66224353,17,Macro,489000,6
anasgamezzz,Anas Gamezzz,High-Tech,0,0,0,0,138000,14807227,17,Macro,138000,4
fakhet_amina,Fakhet Amina,Singer,75800,8,72,0,0,0,16,Micro,75800,11
aymen_mahmoud_,Aymen Mahmoud,Sport,11600,232,94,0,0,0,16,Micro,11600,12
chaima_mahmoud,Chaima Mahmoud,Singer,47500,417,3,0,0,0,16,Micro,47500,11
ghadaabderrazek,Ghadaabderrazek,Lifestyle,13500,491,15,0,0,0,16,Micro,13500,6
bassem_chatteli,Bassem Chatteli,Sport,42600,1300,32,0,0,0,16,Micro,42600,12
ghanem_zrelli_official,Ghanem Zrelli Official,Actors,31100,402,40,0,0,0,16,Micro,31100,0
fahmi_riahi_09,Fahmi Riahi 09,Singer,40400,450,39,0,0,0,16,Micro,40400,11
saadiranya,Saadiranya,Modeling,94700,272,28,0,0,0,16,Micro,94700,8
sandra.aouadi,Sandra.Aouadi,Lifestyle,91000,462,53,0,0,0,16,Micro,91000,6
ali_macheni,Ali Macheni,Sport,45100,375,10,0,0,0,16,Micro,45100,12
atef_dkhili,Atef Dkhili,Sport,35100,9,2,0,0,0,16,Micro,35100,12
aminabouchiba,Aminabouchiba,Lifestyle,11800,1100,16,0,0,0,16,Micro,11800,6
joannabensouissi,Joannabensouissi,Fashion,17400,3800,74,0,0,0,16,Micro,17400,2
naestro_officiel,Naestro Officiel,Singer,15300,498,4,0,0,0,16,Micro,15300,11
lotfiboucedra,Lotfiboucedra,Lifestyle,62100,1300,97,0,0,0,16,Micro,62100,6
houda_hadhoudda_,Houda Hadhoudda,Lifestyle,21400,3200,51,0,0,0,16,Micro,21400,6
hibatelmoudi,Hibatelmoudi,Modeling,14200,1400,52,0,0,0,16,Micro,14200,8
meskini.amine.28,Meskini.Amine.28,Sport,34200,394,14,0,0,0,16,Micro,34200,12
idryss.kharroubi,Idryss.Kharroubi,Actors,14400,277,38,0,0,0,16,Micro,14400,0
jazirimalek,Jazirimalek,Sport,48300,199,78,0,0,0,16,Micro,48300,12
arijzaafouri_official,Arijzaafouri Official,Sport,12400,553,14,0,0,0,16,Micro,12400,12
naderguirat,Naderguirat,Singer,180,3100,34,7000,0,0,15,Nano,7180,11
ben_youssef_officiel,Ben Youssef Officiel,Sport,215,618,369,0,0,0,15,Nano,215,12
badri_anice_officiel,Badri Anice Officiel,Sport,193,456,214,0,0,0,15,Nano,193,12
mehdi_r2m_officiel,Mehdi R2M Officiel,Singer,172,781,320,0,0,0,15,Nano,172,11
aminebensalah__,Aminebensalah,Modeling,201,914,241,0,0,0,15,Nano,201,8
wahbi_khazri_8,Wahbi Khazri 8,Sport,195,336,332,0,0,0,15,Nano,195,12
mathlouthi_hamza_,Mathlouthi Hamza,Sport,291,511,146,0,0,0,15,Nano,291,12
bejiiheb,Bejiiheb,Lifestyle,1400,285,328,0,0,0,15,Nano,1400,6
realraniatoumi,Realraniatoumi,TV Host,5700,1300,118,0,0,0,15,Nano,5700,13
samarmatoussi,Samarmatoussi,Modeling,211,2400,168,0,0,0,15,Nano,211,8
fatmabouchiba,Fatmabouchiba,Fashion,6900,150,131,0,0,0,15,Nano,6900,2
ineshicheri,Ineshicheri,Travel,194,613,294,0,0,0,15,Nano,194,14
sanayoussefofficial,Sanayoussefofficial,Actors,192,4000,402,0,0,0,15,Nano,192,0
hamdiharbaoui9,Hamdiharbaoui9,Sport,214,61,434,0,0,0,15,Nano,214,12
traveleriste,Ahmed Hajji أحمد الحاجي,Lifestyle,0,0,0,0,100000,11839847,11,Macro,100000,6
cuisinesoha8048,Cuisine Soha المطبخ التونسي مع سهى,Lifestyle,0,0,0,0,27400,2532435,11,Micro,27400,6
cuisinetunisienneolfa,أسرار مطبخ ألفة Cuisine Tunisienne,Lifestyle,0,0,0,0,41800,2933452,11,Micro,41800,6
cuisine-tunisienne-by-noura,نورة في المطبخ // Noura À La Cuisine,Lifestyle,0,0,0,0,64700,3674117,11,Micro,64700,6
cuisinetunisienne838,أكلات تونسية عالمية Cuisine Tunisienne,Lifestyle,0,0,0,0,46800,2582726,11,Micro,46800,6
diariotunisia,Diario Tunisia,Lifestyle,0,0,0,0,12100,1680396,11,Micro,12100,6
kitchenamaltunisian,Kitchen Amal Tunisian مطبخ آمال التونسية,Lifestyle,0,0,0,0,49700,3214104,11,Micro,49700,6
yasminebng,Yasmine Bng,Lifestyle,0,0,0,0,11600,1492899,11,Micro,11600,6
selmaa.tk3,Selmaa,Lifestyle,0,0,0,0,19700,1400233,11,Micro,19700,6
sarah_hannachi,Sarah Hannachi,Actors,220,182,40,0,0,0,10,Nano,220,0
montassartalbi,Montassartalbi,Sport,268,589,98,0,0,0,10,Nano,268,12
houcinerabii,Houcinerabii,Sport,5500,119,71,0,0,0,10,Nano,5500,12
saadofficielbguir,Saadofficielbguir,Sport,226,84,36,0,0,0,10,Nano,226,12
